time_ms,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
0,100,90,120,90,89,120,120,90,90,98,60,60,93,90,60,90
50,100,88,119,90,89,118,118,90,90,98,58,61,93,88,59,90
100,100,86,118,90,89,116,116,90,90,98,57,64,93,86,58,90
150,100,85,116,90,89,119,118,90,90,98,55,66,93,86,58,90
200,100,82,115,90,89,123,122,90,90,98,52,67,93,89,61,90
250,100,79,114,90,89,126,125,90,90,98,50,69,93,92,62,90
300,100,75,112,90,89,130,128,90,90,98,46,71,93,95,61,90
350,100,72,109,90,89,134,129,90,90,98,43,74,93,96,61,90
400,100,73,110,90,89,137,128,90,90,98,42,77,93,100,60,90
450,100,74,109,90,89,138,126,90,90,98,40,80,93,103,60,90
500,100,72,107,90,89,139,124,90,90,98,38,82,93,103,59,90
550,100,72,106,90,89,136,123,90,90,98,36,82,93,100,59,90
600,100,73,107,90,89,133,122,90,90,98,36,79,93,97,58,90
650,100,76,111,90,89,130,120,90,90,98,38,75,93,95,57,90
700,100,80,113,90,89,128,118,90,90,98,39,72,93,92,55,90
750,100,83,114,90,89,125,116,90,90,98,41,68,93,89,54,90
800,100,86,115,90,89,122,114,90,90,98,44,65,93,86,52,90
850,100,88,114,90,89,119,113,90,90,98,47,61,93,84,50,90
900,100,89,115,90,89,117,111,90,90,98,49,59,93,81,50,90
950,100,91,115,90,89,114,109,90,90,98,53,58,93,79,50,90
1000,100,92,115,90,89,111,108,90,90,98,56,59,93,79,50,90
1050,100,94,117,90,89,108,106,90,90,98,59,57,93,76,50,90
1100,100,96,118,90,89,106,104,90,90,98,63,57,93,75,50,90
1150,100,99,118,90,89,103,101,90,90,98,66,59,93,72,50,90
1200,100,99,119,90,89,102,101,90,90,98,64,61,93,75,50,90
1250,100,99,116,90,89,102,103,90,90,98,62,63,93,72,50,90
1300,100,96,115,90,89,105,106,90,90,98,60,65,93,74,50,90
1350,100,93,114,90,89,108,110,90,90,98,58,67,93,77,51,90
1400,100,90,113,90,89,111,113,90,90,98,55,69,93,80,54,90
