time_s,hip_fl_deg,hip_fl_cmd,knee_fl_deg,knee_fl_cmd,hip_fr_deg,hip_fr_cmd,knee_fr_deg,knee_fr_cmd,hip_rl_deg,hip_rl_cmd,knee_rl_deg,knee_rl_cmd,hip_rr_deg,hip_rr_cmd,knee_rr_deg,knee_rr_cmd
0,137.178449055535,137,160,160,42.8215509444646,43,180,180,42.8215509444646,43,180,180,42.8215509444646,43,180,180
0.05,139.322240625905,139,160,160,41.0634272525587,41,180,180,41.0311585793983,41,180,180,41.0209256832199,41,180,180
0.1,140.237755607156,140,160,160,39.1501121593481,39,180,180,39.2365052252353,39,180,180,39.231235179751,39,180,180
0.15,142.309965063288,142,160,160,41.8553468400063,42,180,180,39.0399345299101,39,180,180,37.4424522912095,37,180,180
0.2,144.689547731031,145,160,160,45.4684560382886,45,180,180,42.0789234428441,42,180,180,34.6536752931796,35,179.376573647592,179
0.25,147.552896141192,148,160,160,49.0982646688879,49,180,180,45.1006640316666,45,180,180,31.3951929202566,31,177.981938728403,178
0.3,150.738512291177,151,160,160,52.7160980331184,53,180,180,47.4900007805082,47,180,180,27.9285832384671,28,176.155872334337,176
0.35,153.866631696283,154,160,160,56.4016608380814,56,180,180,49.0507016337795,49,180,180,24.7049010523925,25,173.624750205794,174
0.4,155.542960962906,156,160,160,60.2244400165151,60,180,180,52.3601347259369,52,180,180,26.0089485869879,26,174.853150182421,175
0.45,157.160133914807,157,160,160,61.1702316505341,61,180,180,55.8987458707924,56,180,180,26.3332230622807,26,173.611783780865,174
0.5,159.2126493965,159,160,160,61.3423422903339,61,180,180,55.4610746251242,55,180,180,25.2269645029336,25,170.967187150675,171
0.55,161.459246712134,161,160,160,59.1977258678729,59,180,180,52.9128637482918,53,180,180,24.9038112423042,25,170.85672300769,171
0.6,160.699737809422,161,160,160,56.0212424017421,56,180,180,50.2742615776971,50,180,180,26.2777569249384,26,171.690134820282,172
0.65,159.667799589713,160,160,160,53.2580287140096,53,180,180,47.6420469344505,48,180,180,29.0871091294391,29,174.898145238886,175
0.7,158.152776282548,158,160,160,50.5506117806441,51,180,180,44.8532225839477,45,179.755864347374,180,32.4177573303355,32,177.596803365105,178
0.75,155.920339047243,156,160,160,47.8254044796706,48,180,180,42.0237273600784,42,178.339013934631,178,35.6381200145927,36,178.683564798058,179
0.8,153.270673388802,153,160,160,45.0518108956336,45,178.854221954599,179,39.2447527923225,39,176.710042385071,177,38.5365266707384,39,179.128579209014,179
0.85,150.549981693889,151,160,160,42.2949075615194,42,177.132387583828,177,36.7481739654249,37,174.676188051585,175,40.5021178359109,41,178.789301799217,179
0.9,147.715281666685,148,160,160,39.5052032445087,40,175.423311332884,175,34.2631944557733,34,172.323481008946,172,42.1047003730672,42,178.978921736966,179
0.95,144.527503162374,145,160,160,36.6341822659789,37,173.606579913162,174,31.8433145816119,32,169.883055320075,170,43.9777846430619,44,179.451071628094,179
1,141.065705829346,141,160,160,34.0287237888656,34,172.213339101159,172,31.4437009033354,31,169.839543031029,170,45.2592192309143,45,179.375223189011,179
1.05,137.802967630954,138,160,160,31.0387492952315,31,170.01847582233,170,28.857052012559,29,167.760403613455,168,46.4178999768267,46,180,180
1.1,134.024290012654,134,160,160,28.3876409951482,28,167.97303378116,168,27.7332802514885,28,167.707333945972,168,48.7281629804183,49,180,180
1.15,131.620414422108,132,160,160,25.9492922112225,26,165.083624942133,165,25.0423590227322,25,165.376422531887,165,51.7809154664811,52,180,180
1.2,133.030971369017,133,160,160,24.397321692403,24,165.11041078659,165,27.4445825292317,27,164.898659092474,165,51.7472077548052,52,180,180
1.25,135.509000009774,136,160,160,25.1892326400016,25,167.67517237157,168,24.8526313226686,25,168.40435886443,168,51.3966472742283,51,180,180
1.3,137.543486327439,138,160,160,27.3455799115939,27,170.694851981055,171,26.513765600904,27,171.764391074794,172,48.8959073215837,49,179.677007095304,180
1.35,139.640721148269,140,160,160,30.5557285448254,31,174.062446514313,174,29.4143973195722,29,175.168420518877,175,46.1969723327455,46,178.729338135312,179
1.4,142.010745030213,142,160,160,34.2732432270264,34,177.561337119254,178,32.6944263702094,33,178.350087441926,178,43.2689484806596,43,177.665651676267,178
1.45,144.686049286249,145,160,160,37.9835849974409,38,180,180,36.002993339914,36,180,180,40.1402908832875,40,176.346972893813,176
1.5,147.650863761802,148,160,160,41.6634694907556,42,180,180,39.1794047445217,39,180,180,36.8369990415701,37,174.704335653147,175
1.55,150.896858785543,151,160,160,45.3144104527641,45,180,180,41.8509093910171,42,180,180,33.3700210086171,33,172.708887753629,173
1.6,154.258571696282,154,160,160,49.0041054487964,49,180,180,43.6394288067161,44,180,180,30.1242820158546,30,170.012018812417,170
1.65,157.048494241467,157,160,160,52.8866226136918,53,180,180,46.0236176858116,46,180,180,30.0964370949053,30,168.948271757994,169
1.7,158.835477324053,159,160,160,50.4141808172229,50,180,180,46.8799618874921,47,180,180,29.5004287104104,30,169.016664655163,169
1.75,157.919518832697,158,160,160,45.8102418242268,46,180,180,43.523151328988,44,180,180,26.0010591187055,26,166.673713930628,167
1.8,156.54346057604,157,160,160,42.4369328245047,42,180,180,40.3932524403969,40,179.711129085651,180,26.5261193522582,27,169.672492756101,170
1.85,155.830733704526,156,160,160,39.2474203314097,39,180,180,37.3384677115834,37,177.955243710074,178,28.3176856436955,28,172.992058995517,173
1.9,154.68957139188,155,160,160,36.0093332736201,36,180,180,34.1518926976887,34,176.098609922068,176,30.4745532176003,30,176.39221143777,176
1.95,152.777715199912,153,160,160,32.6522851498878,33,178.443897921347,178,30.7863028237194,31,174.120229942631,174,32.7957432904544,33,179.76393252967,180
2,149.607255821526,150,160,160,29.3768157101743,29,175.923874497201,176,27.4245381799685,27,171.896691127265,172,35.584054092799,36,180,180
2.05,145.925040236351,146,160,160,26.5609201475358,27,172.824815600275,173,24.2836894284322,24,169.391033948993,169,38.5935152220057,39,180,180
2.1,142.076522469439,142,160,160,24.5033209449449,25,168.987629875636,169,21.3957932067103,21,166.694697922894,167,41.5844460809886,42,180,180
2.15,138.346800305761,138,160,160,22.775831367547,23,165.979641389552,166,20.3648832381443,20,165.254331747551,165,44.5437070027388,45,180,180
2.2,140.487041505702,140,160,160,21.2073067657644,21,166.129852202982,166,20.214881208477,20,167.13744568865,167,48.3861814958517,48,180,180
2.25,143.014563792086,143,160,160,21.6255364043597,22,168.904749114715,169,20.2882520064494,20,170.340997945954,170,47.5274240226206,48,180,180
2.3,144.918579833675,145,160,160,23.5680323431239,24,171.807600955294,172,22.6581379676049,23,173.403347588208,173,45.2626053821098,45,180,180
2.35,146.910874828798,147,160,160,26.1723603724292,26,174.990884726445,175,25.3992670918606,25,175.959421893566,176,42.7913574299519,43,180,180
2.4,149.067750173951,149,160,160,29.2151605904561,29,178.33362227295,178,28.2026395580156,28,177.753459582649,178,40.151205296657,40,180,180
2.45,151.449109194021,151,160,160,32.6615491503497,33,180,180,30.9280413424797,31,179.106909831917,179,37.3713095898971,37,180,180
2.5,153.884189641843,154,160,160,36.3862641124147,36,180,180,33.6324882858107,34,180,180,34.5940299545708,35,179.231962780447,179
2.55,155.667570633372,156,160,160,40.261804847824,40,180,180,36.9660742845553,37,180,180,32.9721599363206,33,176.313086277597,176
2.6,156.98415081436,157,160,160,44.0711244746016,44,180,180,40.6821993900704,41,180,180,32.7083006524794,33,172.988794968809,173
2.65,158.56317634133,159,160,160,47.8026157576677,48,180,180,43.7023948861809,44,180,180,31.9441244561761,32,169.434996917751,169
2.7,160.151530045396,160,160,160,47.5178963962411,48,180,180,44.0264403762859,44,180,180,30.2107808341431,30,166.456207467211,166
2.75,159.879711980295,160,160,160,43.6013954813653,44,180,180,40.9378640521403,41,179.115614197207,179,28.5003789820873,29,166.69286781174,167
2.8,159.089061768195,159,160,160,40.2886711264561,40,180,180,38.0366896868691,38,177.490492337125,177,29.4122564565661,29,169.923122896815,170
2.85,158.225140410726,158,160,160,36.9806008726982,37,180,180,35.0336963492189,35,175.719467622097,176,30.7811128520238,31,173.255931980183,173
2.9,156.87084112732,157,160,160,33.554246192361,34,180,180,31.8445283049923,32,173.820655563802,174,32.2584792751229,32,176.670138526473,177
2.95,154.397427132543,154,160,160,29.995315547323,30,180,180,28.4580475955741,28,171.757574672448,172,33.5908579468802,34,180,180
3,150.869115329025,151,160,160,26.6626269941941,27,179.147697651708,179,25.1376092433324,25,169.416685485293,169,35.5920263034803,36,180,180
3.05,147.074853810402,147,160,160,23.9419946816195,24,175.788929935707,176,21.9819977820955,22,166.943933081752,167,38.7423438844474,39,180,180
3.1,149.035121416436,149,160,160,22.5734635770846,23,176.056410593388,176,22.9958613117943,23,168.737402025043,169,40.6684880112106,41,180,180
3.15,150.934599354438,151,160,160,24.278802996117,24,178.992955251833,179,25.3628813874039,25,171.266845862289,171,38.4523406685187,38,180,180
3.2,152.806508198433,153,160,160,27.075702088268,27,180,180,27.1637567517684,27,173.270911513903,173,36.4263563750009,36,180,180
3.25,154.741861984485,155,160,160,30.4308667211086,30,180,180,28.9677106419791,29,174.949875995308,175,34.4085772961746,34,178.868135281915,179
3.3,156.278173409656,156,160,160,34.1304308336551,34,180,180,31.8820811794344,32,176.327253132883,176,33.5871139637201,34,175.709344077392,176
3.35,158.001565267875,158,160,160,37.8791217975956,38,180,180,34.9499122806696,35,177.920839267592,178,32.5145097915164,33,172.769065739836,173
3.4,159.505696406622,160,160,160,41.6400776699826,42,180,180,38.3709831870492,38,179.002546004423,179,32.2096802788065,32,169.076961427152,169
3.45,160.611959170832,161,160,160,44.6689679046291,45,180,180,41.7443026063719,42,179.94177018531,180,32.3517583035212,32,165.59544876075,166
3.5,161.235734984822,161,160,160,41.6156132219914,42,180,180,40.4042232005303,40,177.672128244549,178,30.346652523469,30,163.318414301823,163
3.55,160.473423787539,160,160,160,38.4972459455016,38,180,180,37.7911468191086,38,176.275848615157,176,30.0529665580505,30,166.137675772376,166
3.6,159.445972597017,159,160,160,35.3315603425604,35,180,180,35.1093410199075,35,174.638840839319,175,30.6548131547938,31,169.258973351162,169
3.65,158.243780357536,158,160,160,31.976285761847,32,180,180,32.2257150930089,32,172.793963841753,173,31.2440478015995,31,172.487952940215,172
3.7,155.933075196493,156,160,160,28.4707769359649,28,180,180,29.1658043293556,29,170.734726658915,171,31.6819527483071,32,175.757857242274,176
3.75,152.400407260757,152,160,160,25.2278495826615,25,180,180,26.2346799192302,26,168.333138135344,168,32.3687714213079,32,179.001482313471,179
3.8,153.075819163542,153,160,160,24.3529107057391,24,180,180,27.2318743136502,27,169.28474410266,169,35.7231014917369,36,180,180
3.85,154.394216217641,154,160,160,27.106659218906,27,180,180,28.5059152926124,29,171.15965768513,171,35.9181012554501,36,178.178448720956,178
3.9,156.075045089768,156,160,160,30.8346813651399,31,180,180,29.340555129555,29,172.937224106985,173,34.0459098923627,34,176.433627050692,176
3.95,156.770567859287,157,160,160,34.7416173296037,35,180,180,32.2595991467329,32,174.52311158907,175,33.7215421520095,34,173.420060918541,173
4,158.052911729131,158,160,160,38.4183722334054,38,180,180,34.4859545559536,34,176.651283882099,177,32.2838808485886,32,171.091062557955,171
4.05,159.280111412803,159,160,160,42.1828134359313,42,180,180,36.8443594405271,37,177.744755146407,178,31.6604621408933,32,168.138430569311,168
4.1,160.446352476522,160,160,160,45.7981442662289,46,180,180,39.8633562412203,40,178.854660987097,179,31.6311773479352,32,164.665456572924,165
4.15,161.208822228785,161,160,160,45.4330462864946,45,180,180,40.7337453919998,41,178.118479461525,178,30.3171336156317,30,161.846346673551,162
4.2,160.585232795731,161,160,160,42.386102010299,42,180,180,38.2339269789013,38,176.867065463279,177,29.7246582628053,30,164.512907607536,165
4.25,159.611914029707,160,160,160,39.3307464502764,39,180,180,35.6862395581461,36,175.354041180383,175,30.1887677277812,30,167.551884944876,168
4.3,158.387706883252,158,160,160,36.1028408443464,36,180,180,32.9255090857117,33,173.63256520143,174,30.6845581948608,31,170.730135858452,171
4.35,156.512817176652,157,160,160,32.6935458445853,33,180,180,29.9678078793563,30,171.71048076786,172,31.1741057312537,31,173.981569931352,174
