time_s,hip_fl_deg,hip_fl_cmd,knee_fl_deg,knee_fl_cmd,hip_fr_deg,hip_fr_cmd,knee_fr_deg,knee_fr_cmd,hip_rl_deg,hip_rl_cmd,knee_rl_deg,knee_rl_cmd,hip_rr_deg,hip_rr_cmd,knee_rr_deg,knee_rr_cmd
0,42.8215509444646,43,180,180,42.8215509444646,43,180,180,42.8215509444646,43,180,180,42.8215509444646,43,180,180
0.025,42.059517767282,42,180,180,41.8987758548967,42,180,180,41.678747047381,42,180,180,41.6697462503118,42,180,180
0.05,40.6777593740952,41,180,180,41.0634272525587,41,180,180,41.0311585793983,41,180,180,41.0209256832199,41,180,180
0.075,41.0062053899492,41,180,180,40.2781399157118,40,180,180,40.2133199959948,40,180,180,40.2038689090565,40,180,180
0.1,39.7622443928439,40,180,180,39.1501121593481,39,180,180,39.2365052252353,39,180,180,39.231235179751,39,180,180
0.125,38.681738256065,39,179.636869884871,180,40.0977733824613,40,180,180,38.5516282005285,39,180,180,38.4444401675881,38,180,180
0.15,37.6900349367116,38,178.75115197194,179,41.8553468400063,42,180,180,39.0399345299101,39,180,180,37.4424522912095,37,180,180
0.175,36.5807181416578,37,177.849693813931,178,43.6546715233668,44,180,180,40.4685125609268,40,180,180,36.1522081705164,36,179.971403037317,180
0.2,35.3104522689689,35,176.924623795149,177,45.4684560382886,45,180,180,42.0789234428441,42,180,180,34.6536752931796,35,179.376573647592,179
0.225,33.9262050796076,34,175.986887584707,176,47.2853210324515,47,180,180,43.6453944021891,44,180,180,33.0554957061183,33,178.726845455894,179
0.25,32.4471038588077,32,175.022679712899,175,49.0982646688879,49,180,180,45.1006640316666,45,180,180,31.3951929202566,31,177.981938728403,178
0.275,30.8859631342835,31,174.009435502627,174,50.9073633420899,51,180,180,46.417828615963,46,180,180,29.6853768103095,30,177.124947158927,177
0.3,29.2614877088229,29,172.917030795018,173,52.7160980331184,53,180,180,47.4900007805082,47,180,180,27.9285832384671,28,176.155872334337,176
0.325,27.6335637205375,28,171.699977957416,172,54.5358333085461,55,180,180,48.3176117505977,48,180,180,26.1774484465808,26,175.04513636541,175
0.35,26.1333683037165,26,170.387965523426,170,56.4016608380814,56,180,180,49.0507016337795,49,180,180,24.7049010523925,25,173.624750205794,174
0.375,25.1921423704737,25,168.855200674216,169,58.3716837005511,58,180,180,50.5154297605504,51,180,180,25.1767576736413,25,174.358643183507,174
0.4,24.4570390370942,24,167.238667930241,167,60.2244400165151,60,180,180,52.3601347259369,52,180,180,26.0089485869879,26,174.853150182421,175
0.425,23.7392721619261,24,165.612432349518,166,60.9714893368858,61,180,180,54.1921633783506,54,180,180,26.5256836050656,27,174.905915642172,175
0.45,22.8398660851931,23,164.341387758569,164,61.1702316505341,61,180,180,55.8987458707924,56,180,180,26.3332230622807,26,173.611783780865,174
0.475,21.8169420231016,22,163.076742036426,163,61.2701342267611,61,180,180,56.1915756075195,56,180,180,25.5766004172906,26,171.966356137784,172
0.5,20.7873506034997,21,161.901458497646,162,61.3423422903339,61,180,180,55.4610746251242,55,180,180,25.2269645029336,25,170.967187150675,171
0.525,19.7995562271965,20,160.899504619531,161,61.289955687488,61,180,180,54.5619890246898,55,180,180,25.8196963512048,26,172.164074803736,172
