Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
27054,0,7.14,0.07,-0.00,0.06,-0.22
27108,1,-0.04,-0.72,0.16,-0.04,3.32
27163,3,5.26,1.42,1.51,0.06,4.67
27218,4,-2.07,0.85,2.88,-0.04,1.12
27274,6,-9.19,0.70,3.29,-0.04,1.86
27335,8,-2.71,1.08,3.21,-0.04,1.12
27389,9,3.44,1.32,3.53,0.16,4.79
27445,11,10.10,1.32,3.78,0.01,1.00
27500,12,17.39,0.84,3.91,-0.19,4.18
27555,14,24.11,0.58,3.95,-0.04,4.67
27610,15,29.43,1.22,4.03,-0.04,3.45
27665,17,21.71,0.55,4.09,-0.04,7.72
27718,18,21.71,0.55,4.09,0.16,2.71
27770,20,21.71,0.55,4.09,0.06,4.30
27824,21,27.46,0.48,4.13,0.20,1.73
27879,23,33.14,-0.12,3.93,0.01,2.35
27934,24,38.09,-0.54,3.53,-0.04,1.61
27987,26,38.09,-0.54,3.53,-0.04,1.61
28040,27,38.09,-0.54,3.53,0.01,3.93
28092,29,38.09,-0.54,3.53,0.20,5.89
28144,30,38.09,-0.54,3.53,0.06,3.81
28196,32,38.09,-0.54,3.53,-0.04,3.57
28248,33,38.09,-0.54,3.53,-0.04,4.18
28300,35,38.09,-0.54,3.53,0.16,3.81
28352,36,38.09,-0.54,3.53,0.11,4.79
28404,38,38.09,-0.54,3.53,-0.04,5.03
28456,39,38.09,-0.54,3.53,0.06,6.87
28509,41,38.09,-0.54,3.53,-0.04,5.77
28561,42,38.09,-0.54,3.53,0.06,6.13
28613,44,38.09,-0.54,3.53,0.16,5.64
28665,45,38.09,-0.54,3.53,0.11,4.30
28719,47,36.53,-0.52,3.54,-0.14,3.93
28771,48,36.53,-0.52,3.54,0.16,3.20
28825,50,42.10,-0.41,3.54,-0.04,3.20
28887,52,34.34,-0.07,2.91,0.06,3.69
28941,53,25.30,-0.35,1.10,0.11,2.83
28996,55,16.59,-0.17,-0.13,0.01,4.42
29051,56,8.74,-0.04,-0.85,0.01,2.59
29106,58,0.52,0.33,-1.10,-0.19,2.47
29161,59,-7.73,0.50,-0.59,0.06,4.54
29216,61,-15.11,1.35,0.71,0.01,7.48
29272,62,-22.30,1.69,1.90,0.11,4.54
29327,64,-29.59,2.89,2.93,-0.04,7.11
29382,65,-22.91,3.42,3.15,-0.04,5.89
29435,67,-22.91,3.42,3.15,0.06,5.40
29489,68,-15.46,2.38,2.76,0.06,5.03
29544,70,-8.87,1.63,2.96,-0.04,5.64
29599,71,-1.99,0.44,2.75,-0.04,4.30
29655,73,5.83,-0.47,2.31,-0.09,4.18
29715,75,12.89,-1.01,2.58,-0.04,2.96
29770,76,5.81,-0.84,2.31,0.06,4.91
29824,78,5.81,-0.84,2.31,0.01,4.06
29876,79,5.81,-0.84,2.31,0.06,5.28
29928,81,5.81,-0.84,2.31,0.01,5.77
29980,82,5.81,-0.84,2.31,0.06,3.81
30032,84,5.81,-0.84,2.31,0.11,2.71
30086,85,12.49,-0.55,2.31,0.01,7.36
30141,87,5.52,0.66,1.24,0.01,4.79
30196,88,-1.92,1.23,0.59,-0.09,2.35
30252,90,-8.84,1.37,0.79,0.11,6.26
30312,92,-15.34,1.33,1.02,0.01,2.83
30367,93,-22.24,1.27,0.94,-0.04,5.28
30423,95,-14.72,1.02,1.35,0.01,3.45
30478,96,-7.68,1.15,2.50,-0.04,4.30
30533,98,-15.41,1.50,3.35,0.06,3.69
30595,100,-8.01,2.06,3.89,-0.09,2.83
30649,101,-1.87,2.34,4.57,-0.04,3.93
30704,103,4.58,2.47,5.36,-0.14,5.03
30759,104,11.06,2.78,5.66,-0.09,4.67
30815,106,17.54,2.74,5.60,0.01,5.28
30870,107,23.17,2.07,5.35,-0.04,5.03
30925,109,14.34,1.12,4.68,-0.24,2.22
30980,110,19.90,1.04,3.75,0.01,1.61
31035,112,26.14,0.63,4.09,-0.19,1.12
31090,113,31.86,0.67,4.58,0.06,2.10
31145,115,37.19,-0.32,4.44,-0.04,4.54
31199,116,37.19,-0.32,4.44,0.11,4.91
31251,118,37.19,-0.32,4.44,0.20,3.08
31303,119,37.19,-0.32,4.44,0.16,4.06
31355,121,37.19,-0.32,4.44,-0.04,4.67
31407,122,37.19,-0.32,4.44,0.20,2.96
31461,124,28.69,0.10,3.39,-0.04,5.03
31516,125,34.86,0.62,1.99,0.01,3.57
31571,127,27.34,0.12,2.49,0.06,5.28
31633,129,19.05,0.41,2.90,0.01,4.30
31688,130,10.83,0.02,2.99,-0.04,5.64
31744,132,3.22,-0.22,3.56,0.01,5.89
31799,133,-6.44,0.23,4.25,-0.04,4.18
31854,135,0.09,0.53,4.93,-0.04,4.42
31909,136,6.15,0.86,5.98,0.11,3.81
31964,138,-2.16,1.03,6.28,0.06,1.73
32019,139,3.43,0.90,5.73,0.01,1.61
32074,141,9.45,1.08,5.56,0.01,0.63
32136,143,15.65,0.72,5.78,-0.04,1.61
32191,144,22.92,0.44,5.79,0.11,1.86
32246,146,30.11,-0.37,5.82,0.01,4.18
32301,147,37.11,-0.61,5.44,-0.09,3.20
32354,149,37.11,-0.61,5.44,0.11,2.71
32406,150,37.11,-0.61,5.44,0.06,2.96
32458,152,37.11,-0.61,5.44,0.11,1.61
32510,153,37.11,-0.61,5.44,0.11,1.37
32563,155,37.11,-0.61,5.44,-0.04,1.12
32617,156,28.68,-0.40,5.44,0.06,4.54
32672,158,19.93,-0.30,5.20,0.01,4.79
32734,160,17.70,-1.30,5.20,0.11,2.22
32789,161,8.71,-0.65,5.87,-0.09,3.81
32844,163,14.36,0.21,5.63,0.06,4.06
32899,164,20.00,0.88,6.05,0.11,2.35
32954,166,26.42,1.08,6.41,-0.04,3.93
33009,167,31.70,1.25,5.80,0.01,0.51
33064,169,36.08,1.10,5.48,-0.09,0.63
33126,171,42.51,0.84,5.70,-0.04,0.51
33181,172,35.29,0.52,5.72,-0.14,2.71
33236,174,27.99,0.74,5.58,-0.04,1.61
33292,175,35.37,0.89,4.79,0.01,4.67
33345,177,35.37,0.89,4.79,0.11,2.59
33397,178,35.37,0.89,4.79,0.01,2.59
33449,180,35.37,0.89,4.79,-0.09,2.47
33504,181,26.94,0.75,4.79,-0.04,1.73
33559,183,17.87,0.55,4.36,0.11,2.59
33614,184,9.88,0.26,4.51,-0.04,2.47
33669,186,1.49,0.74,5.15,0.20,5.77
33724,187,-6.44,1.16,5.81,-0.04,2.96
33779,189,-14.11,1.60,6.12,0.06,1.00
33835,190,-7.97,2.46,6.55,-0.04,2.35
33890,192,-1.39,3.19,7.37,-0.24,2.71
33945,193,4.93,3.89,7.79,-0.09,2.10
34000,195,11.48,4.12,7.20,0.11,1.61
34055,196,17.47,4.12,6.87,0.16,0.39
34110,198,23.95,4.03,7.19,-0.09,0.27
34165,199,30.32,3.74,7.18,0.01,0.39
34221,201,36.28,3.47,7.44,0.20,1.73
34276,202,42.71,3.05,7.11,0.01,3.20
34331,204,49.09,3.86,6.82,0.11,6.50
34386,205,54.16,4.19,6.95,-0.04,4.30
34442,207,59.02,4.38,6.96,-0.09,7.23
34497,208,64.61,4.65,5.87,0.01,3.32
34552,210,55.98,5.11,4.48,0.01,3.20
34607,211,61.40,5.52,4.04,-0.14,3.69
34662,213,52.66,5.34,4.28,0.06,3.81
34717,214,44.32,4.77,4.40,-0.09,3.81
34772,216,35.23,4.74,4.37,-0.14,6.01
34828,217,26.34,4.61,4.80,0.06,4.54
34883,219,17.28,4.48,5.51,-0.09,4.18
34938,220,22.63,4.53,5.83,0.11,1.98
34993,222,27.95,4.86,6.55,-0.24,0.63
35048,223,32.75,5.04,6.64,0.06,3.20
35103,225,37.59,5.48,6.42,0.06,2.96
35159,226,42.57,5.60,6.60,-0.04,0.15
35214,228,47.46,5.78,6.73,0.01,2.10
35269,229,52.14,5.39,6.91,-0.09,1.00
35324,231,57.29,5.03,7.37,0.01,2.71
35380,232,62.28,5.71,7.24,-0.09,3.57
35433,234,62.28,5.71,7.24,0.06,3.93
35485,235,62.28,5.71,7.24,0.16,1.12
35537,237,62.28,5.71,7.24,-0.04,1.86
35589,238,62.28,5.71,7.24,0.16,1.49
35643,240,59.76,5.49,7.24,-0.09,1.61
35695,241,59.76,5.49,7.24,-0.04,3.20
35749,243,51.04,6.01,7.29,-0.14,4.42
35802,244,51.04,6.01,7.29,0.01,4.30
35856,246,54.95,5.90,7.17,-0.04,4.30
35911,247,45.05,5.27,8.81,0.06,3.57
35966,249,36.05,5.15,9.21,0.01,4.91
36022,250,26.07,5.31,9.19,-0.04,0.63
