Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
4663,0,7.15,0.08,0.00,-0.05,3.05
4717,1,-0.47,-1.05,0.71,0.05,0.61
4771,3,5.15,1.14,2.48,-0.14,1.95
4826,4,-2.11,1.13,3.29,-0.05,2.08
4881,6,4.82,1.28,3.13,-0.19,2.32
4936,7,11.06,2.27,3.06,-0.09,2.44
4992,9,16.88,2.37,3.71,0.00,3.91
5052,11,23.09,2.65,4.18,0.10,1.22
5106,12,29.26,1.79,4.05,0.00,4.15
5161,14,34.72,1.43,3.92,-0.24,5.62
5217,15,39.22,1.92,4.30,-0.09,3.05
5272,17,44.64,2.17,5.89,0.05,2.81
5327,18,49.86,1.68,7.10,0.00,2.44
5382,20,54.31,1.53,7.11,0.10,3.54
5437,21,58.57,1.04,7.10,-0.05,2.44
5492,23,63.14,0.33,7.02,-0.14,0.98
5554,25,67.19,0.93,6.60,0.00,1.83
5608,26,71.67,0.11,6.60,-0.05,3.42
5663,28,76.45,-0.55,6.67,-0.19,5.50
5719,29,80.55,-0.68,6.35,-0.05,3.54
5774,31,84.61,0.20,6.19,-0.05,3.66
5829,32,88.23,0.25,5.74,-0.05,5.13
5884,34,92.02,0.88,5.47,0.05,4.03
5940,35,95.10,0.41,5.16,-0.09,4.15
5995,37,98.47,0.93,5.01,-0.05,5.37
6050,38,101.20,1.09,4.91,-0.19,4.15
6105,40,104.57,1.40,4.84,0.00,5.01
6160,41,107.61,1.66,4.75,0.05,5.01
6215,43,110.90,1.77,4.45,0.10,5.25
6270,44,113.06,2.62,3.80,-0.05,5.62
6326,46,116.01,2.50,2.81,-0.09,6.23
6381,47,118.54,2.99,2.50,0.05,5.37
6436,49,122.11,2.19,2.50,0.00,3.91
6491,50,125.89,1.35,3.09,-0.05,2.93
6546,52,129.19,1.10,3.34,-0.05,1.71
6601,53,117.48,0.74,2.79,-0.14,1.34
6657,55,106.17,0.28,2.21,0.05,3.05
6712,56,94.17,0.76,1.26,0.05,2.93
6767,58,83.38,1.40,1.12,-0.05,4.28
6822,59,71.59,2.30,1.81,0.05,4.28
6877,61,74.66,2.76,2.78,-0.05,5.25
6932,62,76.99,3.51,3.97,0.10,2.08
6987,64,79.44,4.31,5.16,0.10,3.30
7042,65,82.97,4.23,5.12,-0.09,2.69
7097,67,84.74,4.09,4.69,-0.05,3.18
7152,68,87.75,3.39,5.42,-0.05,2.20
7207,70,91.93,2.78,5.56,0.05,4.52
7268,72,95.65,1.33,5.94,-0.14,3.18
7322,73,85.25,1.01,6.03,0.15,7.94
7377,75,89.92,0.08,5.49,0.10,2.32
7432,76,94.37,-0.63,4.94,-0.05,3.79
7487,78,98.74,-0.24,4.46,0.05,3.42
7542,79,102.66,0.11,4.21,-0.05,3.42
7597,81,92.06,1.03,4.07,-0.09,6.72
7652,82,81.61,2.20,3.29,0.05,4.64
7707,84,85.85,3.15,1.95,-0.09,3.79
7762,85,90.46,3.60,1.30,0.05,3.42
7818,87,95.25,4.23,0.68,-0.05,2.93
7879,89,85.30,4.06,0.45,0.05,2.56
7933,90,75.06,4.17,0.19,0.05,3.18
7989,92,64.72,3.80,-0.20,-0.05,3.79
8044,93,54.49,3.36,-0.11,0.00,3.91
8099,95,44.85,3.84,0.64,0.15,6.84
8154,96,35.11,3.79,1.67,-0.05,2.81
8209,98,25.43,3.28,2.95,-0.05,4.76
8264,99,16.03,3.73,3.84,-0.09,2.44
8320,101,21.36,4.18,4.34,0.00,2.56
8380,103,26.45,3.78,5.13,-0.09,2.81
8435,104,31.68,4.11,5.29,0.00,3.42
8491,106,36.82,3.76,5.08,0.00,3.66
8546,107,41.52,2.94,4.80,-0.14,5.01
8601,109,46.97,1.86,4.74,0.05,0.61
8656,110,51.82,1.23,4.62,-0.09,1.59
8711,112,56.46,1.07,4.71,0.00,4.15
8766,113,60.98,1.12,5.12,-0.05,2.08
8821,115,66.06,0.34,4.63,0.00,3.18
8877,116,71.74,0.27,4.23,-0.05,4.28
8932,118,62.94,1.13,4.09,0.10,5.74
8987,119,54.75,1.24,3.39,-0.05,2.81
9042,121,61.28,1.87,2.14,-0.05,6.11
9104,123,67.37,3.12,0.32,0.10,2.20
9159,124,57.83,3.06,-0.53,-0.19,2.32
9214,126,49.09,3.00,-0.19,-0.05,5.01
9270,127,40.78,2.78,0.28,-0.14,3.54
9325,129,31.64,2.53,0.33,-0.09,4.28
9380,130,22.67,1.77,0.47,-0.09,5.01
9435,132,14.53,1.60,1.22,-0.05,4.15
9490,133,4.74,2.27,1.85,0.05,4.76
