t,row,roll,pitch,yaw,i_arduino,i_servos
16111,0,7.12,0.05,0.00,-0.09,4.45
16165,1,14.50,-1.82,0.07,0.05,2.37
16220,3,6.10,-0.16,1.42,0.05,1.88
16275,4,-1.45,0.13,2.56,0.01,1.52
16330,6,5.36,0.45,2.63,0.10,4.69
16392,8,11.71,0.86,2.51,0.05,1.88
16446,9,17.52,0.74,3.04,-0.14,4.45
16501,11,9.77,0.71,3.95,0.01,3.96
16557,12,2.06,0.19,3.74,0.10,1.64
16612,14,8.50,0.03,3.23,-0.04,3.23
16667,15,14.53,0.39,3.91,-0.09,4.57
16722,17,20.62,0.81,5.37,0.10,3.23
16784,19,26.90,0.70,6.30,-0.14,4.08
16838,20,32.20,0.38,6.44,0.01,2.13
16893,22,37.56,-0.34,6.55,0.01,2.25
16949,23,42.86,-0.51,6.11,0.01,1.39
17004,25,47.73,-0.54,5.80,0.10,2.74
17059,26,52.36,-0.79,6.00,-0.09,1.39
17114,28,57.41,-0.63,6.17,0.05,5.18
17169,29,62.13,-0.64,6.01,-0.14,4.45
17224,31,66.91,-0.19,5.95,0.01,4.45
17280,32,71.14,0.28,5.80,-0.04,5.67
17335,34,74.79,0.58,5.58,-0.09,5.43
17390,35,78.42,0.42,4.98,-0.09,5.18
17445,37,82.29,0.66,4.82,-0.14,5.79
17500,38,86.15,1.10,5.03,0.10,5.43
17555,40,89.98,1.15,4.74,0.01,4.81
17610,41,93.44,1.24,4.66,0.20,5.55
17666,43,97.19,1.34,4.78,-0.09,6.53
17727,45,100.34,1.72,4.03,-0.04,5.18
17782,46,104.12,1.12,2.99,-0.14,6.28
17837,48,107.94,0.70,2.44,0.05,4.33
17892,49,112.01,0.15,2.37,-0.14,3.72
17947,51,115.82,0.16,2.88,-0.09,0.90
18002,52,105.37,-1.17,2.92,0.10,1.27
18058,54,94.48,-1.23,2.33,0.25,0.54
18113,55,82.74,-0.69,0.87,-0.09,2.74
18168,57,85.52,-0.40,0.69,-0.14,2.13
18223,58,74.71,-0.03,2.02,-0.09,2.37
18278,60,63.06,1.25,3.29,0.01,3.84
18333,61,52.16,1.63,4.02,0.01,3.96
18388,63,54.94,2.40,4.95,0.10,4.57
18450,65,43.92,3.41,5.51,0.05,1.88
18505,66,47.37,3.40,5.00,0.05,1.88
18561,68,51.81,2.04,4.41,0.05,5.30
18616,69,56.81,0.93,4.32,-0.04,3.10
18671,71,61.80,0.41,4.68,-0.04,2.74
18726,72,67.96,-1.28,5.12,0.10,2.74
18781,74,59.14,-2.02,4.88,-0.04,3.23
18836,75,63.75,-1.98,4.15,0.10,3.59
18891,77,69.07,-2.07,3.72,-0.09,6.04
18946,78,74.74,-2.01,3.39,-0.04,3.84
19001,80,79.74,-1.52,3.25,-0.04,1.76
19056,81,84.42,-0.97,2.82,-0.09,5.67
19111,83,75.19,-0.05,1.90,0.01,5.43
19167,84,79.86,0.54,0.73,0.10,3.59
19222,86,84.78,2.05,0.23,0.01,5.43
19277,87,74.45,2.54,-0.48,0.01,4.45
19332,89,64.88,2.23,-0.91,0.01,2.62
19387,90,55.50,1.89,-1.15,-0.19,2.62
19442,92,46.14,1.51,-1.01,0.20,2.37
19497,93,36.64,1.37,-0.92,0.01,3.72
19553,95,27.79,2.04,-0.46,-0.04,5.06
19608,96,18.98,2.61,0.39,-0.04,3.47
19663,98,24.10,1.75,1.37,-0.04,5.91
19718,99,29.64,2.26,2.23,0.01,3.35
19773,101,34.60,2.46,3.04,0.01,1.64
19828,102,39.37,1.98,3.60,-0.14,3.59
19884,104,44.11,2.04,3.54,-0.04,3.96
19939,105,49.33,2.23,3.68,-0.19,4.33
19994,107,39.08,2.14,3.37,-0.19,4.33
20049,108,43.93,1.02,3.31,-0.14,1.39
20104,110,48.90,1.09,3.48,0.01,5.30
20159,111,53.55,1.01,3.53,0.01,1.64
20214,113,59.34,0.16,3.49,-0.19,1.03
20269,114,64.59,0.09,3.17,-0.04,3.35
20324,116,69.47,-0.27,2.89,0.05,4.45
20379,117,74.96,0.12,2.76,0.01,4.81
20434,119,80.47,0.27,1.83,0.01,6.77
20490,120,85.86,1.31,1.04,0.05,3.72
20545,122,76.53,2.24,-0.37,0.15,2.49
20600,123,66.65,2.86,-1.62,0.15,3.23
20655,125,71.27,3.14,-1.96,0.10,2.74
20710,126,62.47,2.99,-1.25,-0.04,3.23
20765,128,53.39,2.45,-0.86,0.01,4.45
20820,129,43.13,1.96,-0.69,-0.09,4.33
20876,131,33.04,1.77,-0.32,0.15,3.59
20931,132,37.52,1.27,0.67,-0.09,2.13
20986,134,28.22,1.62,1.32,0.01,2.25
21041,135,33.07,1.65,1.46,0.10,3.59
21096,137,37.64,2.13,1.81,0.20,4.20
21151,138,42.45,1.72,2.24,0.15,1.27
21207,140,47.26,1.55,2.26,0.01,0.78
21262,141,51.69,1.61,1.86,0.05,0.29
21317,143,55.78,1.16,2.20,0.05,1.03
21372,144,61.89,0.67,2.46,0.01,2.13
21428,146,67.40,0.24,2.15,0.01,3.10
21483,147,72.97,0.36,1.75,-0.09,4.20
21538,149,78.09,1.25,1.69,0.25,4.57
21593,150,83.43,2.34,1.32,0.01,2.62
21648,152,73.53,3.41,0.30,-0.14,4.08
21703,153,63.42,3.38,-0.98,0.05,2.00
21758,155,53.90,3.03,-1.15,-0.09,1.76
21820,157,44.57,3.14,-0.73,0.05,2.62
21875,158,35.58,3.14,-0.30,0.01,4.81
21931,160,26.36,3.57,0.31,0.05,2.13
21986,161,30.72,4.05,0.49,-0.09,2.74
22041,163,34.90,4.69,0.57,0.10,2.74
22096,164,40.00,4.59,1.33,0.01,2.00
22151,166,45.49,4.86,1.83,0.10,3.35
22206,167,49.94,4.76,1.25,-0.09,0.05
22261,169,53.76,4.48,1.27,0.01,0.17
22323,171,59.06,4.19,1.42,-0.04,4.20
22378,172,65.74,3.49,1.27,0.05,2.74
22433,174,57.66,3.26,1.10,0.05,1.64
22488,175,63.80,3.26,0.35,0.01,5.18
22543,177,69.11,3.91,-0.05,-0.14,2.37
22598,178,74.31,4.68,-0.32,-0.09,2.37
22653,180,64.77,5.27,-1.49,-0.09,2.25
22715,182,69.34,5.71,-2.50,0.10,1.64
22770,183,60.19,5.27,-2.31,0.05,3.72
22825,185,50.90,5.04,-2.13,0.15,3.59
22881,186,41.01,5.06,-1.94,-0.14,2.13
22936,188,31.37,5.08,-1.18,-0.04,1.88
22991,189,21.82,5.05,-1.03,-0.04,2.13
23046,191,27.17,5.03,-0.60,-0.09,2.25
23101,192,32.44,5.30,0.01,0.15,2.13
23156,194,37.41,5.36,0.64,-0.09,0.54
23212,195,42.08,5.33,0.11,-0.09,0.66
23267,197,46.76,5.23,0.14,-0.14,1.52
23322,198,51.53,5.12,0.48,-0.04,0.29
23377,200,56.33,4.69,0.71,0.15,0.54
23432,201,61.56,4.66,0.81,0.01,3.59
23487,203,66.43,4.73,0.48,0.01,4.45
23542,204,71.35,4.86,0.49,0.01,4.20
23597,206,76.24,5.84,0.69,0.10,6.16
23652,207,80.84,6.14,-0.05,0.01,4.57
23707,209,85.37,6.85,-1.07,-0.09,3.59
23762,210,90.26,7.38,-2.22,0.05,1.52
23818,212,94.41,7.12,-2.33,-0.09,2.98
23873,213,84.34,6.18,-1.80,-0.04,3.35
23928,215,74.41,5.35,-1.84,0.05,4.20
23983,216,63.74,5.15,-1.73,-0.09,2.37
24038,218,53.62,5.15,-1.41,-0.04,3.47
24093,219,43.45,5.16,-0.87,0.05,3.84
24148,221,33.78,5.25,-0.39,0.01,0.54
24210,223,23.18,5.09,-0.05,-0.04,1.76
24265,224,27.96,4.98,-0.02,-0.19,0.78
24321,226,32.66,4.37,0.40,-0.04,0.54
24376,227,37.84,4.48,0.42,0.05,0.90
24431,229,42.97,3.95,0.60,-0.14,3.72
24486,230,48.03,3.72,1.02,0.05,2.74
24541,232,53.50,4.13,0.94,0.10,7.75
24596,233,59.13,4.92,0.55,0.10,3.47
24651,235,65.20,5.07,0.09,0.01,3.35
24706,236,56.57,5.72,-0.48,0.15,3.72
24761,238,61.49,5.99,-1.88,0.10,3.96
24816,239,67.02,5.99,-2.24,0.05,4.69
24871,241,58.61,5.51,-2.02,-0.04,4.69
24927,242,49.00,5.26,-1.77,-0.09,2.25
24982,244,39.83,5.28,-1.20,-0.14,3.35
25037,245,30.28,4.87,-1.13,-0.04,2.74
25092,247,21.20,4.33,-1.10,0.10,2.49
25147,248,26.75,4.47,-0.78,-0.04,1.52
25202,250,31.30,4.57,-0.46,0.01,1.64
25257,251,36.82,4.28,0.18,-0.04,0.90
25313,253,41.44,4.10,0.76,0.01,0.90
25368,254,45.98,4.11,0.64,-0.09,0.17
25423,256,50.46,3.98,0.95,-0.09,0.90
25478,257,55.79,4.27,1.12,0.01,2.62
25533,259,61.49,4.60,0.92,0.10,3.35
25588,260,66.76,4.33,0.51,0.20,3.96
25644,262,72.42,5.08,0.40,-0.04,6.04
